# SO2 Absorption Cross section
# Source: Rufus et al. 2009 (JGR)
# Temp: 298K
# Wavelength (nm), Cross-section
3.258292570290357162e+02 -3.493599999999999930e-21
3.258287368228130276e+02 -7.770099999999999380e-21
3.258282060018491393e+02 -4.544600000000000244e-21
3.258276857989825430e+02 -2.792599999999999950e-21
3.258271549814431296e+02 -6.122000000000000020e-21
3.258266241656332909e+02 -6.952000000000000641e-21
3.258261039678176303e+02 -4.548999999999999770e-21
3.258255731554322665e+02 -9.238600000000000163e-21
3.258250529609725277e+02 -1.207899999999999938e-20
3.258245221520116388e+02 2.033100000000000029e-21
3.258240019609078786e+02 2.820000000000000179e-21
3.258234711553713510e+02 -9.171000000000000398e-21
3.258229403515643412e+02 -1.013139999999999949e-20
3.258224201655113461e+02 -9.667999999999999504e-21
3.258218893651286976e+02 -3.515999999999999843e-21
3.258213691824316243e+02 2.967100000000000085e-21
3.258208383854732801e+02 -4.669199999999999854e-21
3.258203075902443402e+02 -1.259780000000000061e-20
3.258197874125978615e+02 -9.234299999999999515e-21
3.258192566207932828e+02 -4.018600000000000055e-21
3.258187364465026121e+02 -8.576600000000000395e-21
3.258182056581222241e+02 -9.101100000000000112e-21
3.258176748714711835e+02 1.009199999999999926e-21
3.258171547022311074e+02 4.288599999999999840e-21
3.258166239190043143e+02 -2.601799999999999911e-21
3.258161037531198758e+02 -8.059699999999999653e-21
3.258155729733172166e+02 -8.270099999999999428e-21
3.258150421952439615e+02 -5.413400000000000311e-21
3.258145220344099471e+02 7.083999999999999779e-22
3.258139912597607690e+02 4.362600000000000010e-21
3.258134711022823922e+02 2.723500000000000090e-21
3.258129403310572911e+02 -3.866800000000000228e-21
3.258124201769344950e+02 -1.517020000000000092e-20
3.258118894091334710e+02 -1.494249999999999892e-20
3.258113586430616806e+02 -4.459899999999999773e-21
3.258108384939891380e+02 8.587999999999999988e-22
3.258103077313413678e+02 -4.346300000000000107e-21
3.258097875856242922e+02 -1.223420000000000017e-20
3.258092568264005422e+02 -7.158999999999999448e-21
3.258087260689059690e+02 -5.122700000000000344e-21
3.258082059282390333e+02 -1.005750000000000046e-20
3.258076751741684234e+02 -9.535100000000000497e-21
3.258071550368568978e+02 -1.471469999999999880e-20
3.258066242862101376e+02 -1.525950000000000018e-20
3.258060935372926110e+02 -1.146619999999999971e-20
3.258055734050311116e+02 -9.985699999999999675e-21
3.258050426595373779e+02 2.806999999999999921e-22
3.258045225306312318e+02 -8.780000000000000855e-22
3.258039917885612908e+02 -1.348629999999999930e-20
3.258034610482205267e+02 -1.030080000000000043e-20
3.258029409243642931e+02 -5.816699999999999881e-21
3.258024101874472649e+02 -1.114620000000000052e-20
3.258018900669462710e+02 -9.277899999999999265e-21
3.258013593334529219e+02 -9.197199999999999800e-21
3.258008392163071107e+02 -1.208120000000000027e-20
3.258003084862375545e+02 -5.238100000000000125e-21
3.257997777578970613e+02 -5.069400000000000357e-21
3.257992576458009353e+02 -1.194399999999999986e-21
3.257987269208840644e+02 2.532900000000000064e-21
3.257982068121431212e+02 -1.293729999999999991e-20
3.257976760906498725e+02 -1.036809999999999980e-20
3.257971453708856870e+02 -8.640100000000000276e-21
3.257966252671942584e+02 -1.317979999999999983e-20
3.257960945508536383e+02 8.078200000000000448e-21
3.257955744505173357e+02 4.670100000000000287e-21
3.257950437376001673e+02 -9.955299999999999256e-21
3.257945130264121190e+02 -2.181600000000000024e-21
3.257939929311252172e+02 -7.985199999999999828e-21
3.257934622233605637e+02 -7.767899999999999993e-21
3.257929421314287310e+02 -3.108600000000000013e-21
3.257924114270875293e+02 -8.478200000000000185e-21
3.257918807244752770e+02 -5.171499999999999671e-21
3.257913606375927884e+02 -8.624799999999999684e-21
3.257908299384039310e+02 -1.254839999999999974e-20
3.257903098548762841e+02 -8.208800000000000438e-21
3.257897791591108216e+02 -4.134599999999999874e-21
3.257892590789380165e+02 -1.054000000000000057e-22
3.257887283865958352e+02 -7.508700000000000139e-21
3.257881976959826034e+02 -1.556320000000000097e-20
3.257876776208590286e+02 -1.325700000000000021e-20
3.257871469336690211e+02 -1.005750000000000046e-20
3.257866268619002312e+02 -1.014439999999999956e-20
3.257860961781334481e+02 -1.675319999999999955e-20
