#Wavelength (nm)	Absorption cross-section (cm2/molecule)
264.18	3.50E-19
264.18	3.63E-19
264.19	3.51E-19
264.20	3.64E-19
264.21	3.55E-19
264.22	3.58E-19
264.23	3.65E-19
264.23	3.70E-19
264.24	3.68E-19
264.25	3.57E-19
264.26	3.59E-19
264.27	3.75E-19
264.27	3.76E-19
264.28	3.73E-19
264.29	3.82E-19
264.30	3.94E-19
264.31	3.95E-19
264.32	3.99E-19
264.32	3.96E-19
264.33	3.91E-19
264.34	3.83E-19
264.35	3.91E-19
264.36	3.88E-19
264.36	3.84E-19
264.37	3.83E-19
264.38	3.82E-19
264.39	3.88E-19
264.40	3.95E-19
264.41	3.92E-19
264.41	3.84E-19
264.42	3.85E-19
264.43	3.86E-19
264.44	3.88E-19
264.45	3.94E-19
264.45	3.79E-19
264.46	3.85E-19
264.47	3.74E-19
264.48	3.85E-19
264.49	3.86E-19
264.50	3.89E-19
264.50	3.86E-19
264.51	3.78E-19
264.52	3.86E-19
264.53	3.95E-19
264.54	3.97E-19
264.55	3.92E-19
264.55	4.03E-19
264.56	4.08E-19
264.57	4.05E-19
264.58	4.16E-19
264.59	4.34E-19
264.59	4.55E-19
264.60	4.56E-19
264.61	4.65E-19
264.62	4.54E-19
264.63	4.53E-19
264.64	4.59E-19
264.64	4.64E-19
264.65	4.78E-19
264.66	4.73E-19
264.67	4.68E-19
264.68	4.67E-19
264.68	4.61E-19
264.69	4.59E-19
264.70	4.62E-19
264.71	4.53E-19
264.72	4.53E-19
264.73	4.54E-19
264.73	4.61E-19
264.74	4.52E-19
264.75	4.54E-19
264.76	4.40E-19
264.77	4.39E-19
264.78	4.28E-19
264.78	4.16E-19
264.79	4.12E-19
264.80	4.25E-19
264.81	4.13E-19
264.82	4.21E-19
264.82	4.22E-19
264.83	4.27E-19
264.84	4.19E-19
264.85	4.15E-19
264.86	4.13E-19
264.87	4.11E-19
264.87	4.06E-19
264.88	3.96E-19
264.89	3.95E-19
264.90	3.95E-19
264.91	3.90E-19
264.91	3.94E-19
264.92	4.03E-19
264.93	4.03E-19
264.94	3.91E-19
264.95	3.99E-19
264.96	3.98E-19
264.96	3.92E-19
264.97	3.88E-19
264.98	3.92E-19
264.99	3.85E-19
265.00	3.95E-19
265.00	3.88E-19
265.01	3.75E-19
265.02	3.87E-19
265.03	3.78E-19
265.04	3.67E-19
265.05	3.69E-19
265.05	3.74E-19
265.06	3.66E-19
265.07	3.66E-19
265.08	3.75E-19
265.09	3.80E-19
265.10	3.72E-19
265.10	3.82E-19
265.11	3.73E-19
265.12	3.89E-19
